epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
42,0.5673,0.5253,0.7501768284057151,0.7487,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
43,0.5661,0.5247,0.7507426793040034,0.7493,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
44,0.5657,0.5242,0.7503182911302871,0.7491,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
45,0.5654,0.5249,0.7487622011599944,0.7469,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
46,0.5708,0.5244,0.7506012165794314,0.7493,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
47,0.5649,0.5249,0.7490451266091385,0.7471,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
48,0.5622,0.5236,0.7501768284057151,0.7488,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
49,0.5647,0.5236,0.7504597538548592,0.7491,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
50,0.5664,0.5234,0.7504597538548592,0.7491,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
51,0.5664,0.5239,0.7484792757108502,0.7467,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
52,0.5695,0.5237,0.749893902956571,0.7484,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
53,0.5681,0.5229,0.7508841420285755,0.7499,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
54,0.5634,0.5227,0.7507426793040034,0.7496,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
55,0.5631,0.5229,0.7504597538548592,0.749,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
56,0.5639,0.5224,0.7511670674777197,0.75,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
57,0.5643,0.5233,0.7489036638845664,0.7469,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
58,0.568,0.5231,0.7497524402319988,0.7481,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
59,0.566,0.5223,0.7511670674777197,0.75,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
60,0.5647,0.5234,0.7491865893337105,0.7473,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
61,0.5642,0.5232,0.7493280520582827,0.7474,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
62,0.563,0.5228,0.7493280520582827,0.7475,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
63,0.5663,0.5223,0.7506012165794314,0.7491,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
64,0.565,0.522,0.7506012165794314,0.7492,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
65,0.5679,0.5218,0.7504597538548592,0.7492,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
66,0.5644,0.5213,0.7514499929268638,0.7504,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
67,0.5611,0.5212,0.7510256047531475,0.7498,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
68,0.5655,0.5212,0.7504597538548592,0.7492,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
69,0.5619,0.5215,0.749893902956571,0.7483,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
70,0.5676,0.5219,0.7501768284057151,0.7485,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
71,0.5656,0.5211,0.7508841420285755,0.7497,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
72,0.5673,0.5215,0.7508841420285755,0.7495,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
73,0.5663,0.5224,0.7489036638845664,0.747,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
74,0.5638,0.521,0.7513085302022917,0.7503,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
75,0.5617,0.5211,0.7508841420285755,0.7495,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
76,0.5678,0.5211,0.7507426793040034,0.7495,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
77,0.5638,0.5211,0.7508841420285755,0.7496,SmallMLP-Tanh-Adagrad-0.01-0_Drop-0.05
