DEVICE;suministro;cliente;contrato;fecha_inicio;sea;distribuidor;subestacion;zona;distrito;distrito_descripcion;grupo_lectura;ruta_lectura;orden_lectura;grupo_tarifario;codigo_tarifa;tarifa
1046;01_EA07;VSFPMM;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1303;303;1;140;1.a/f RESIDENCIAL
1047;01_EA08;LQIDAA;2;2017-05-29Z;SRBUSTO;13_ELCONDOR;5231;A;1;CORDOBA;1;1384;99;1;140;1.a/f RESIDENCIAL
1048;01_EA09;BTFCHM;1;1990-06-30Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1290;194;1;140;1.a/f RESIDENCIAL
1049;01_EA10;SFQMWQ;1;1990-06-30Z;CERRO;13_CROLASROSAS;3021;A;1;CORDOBA;1;1338;251;1;140;1.a/f RESIDENCIAL
1050;01_EB01;EWRNUE;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;5231;A;1;CORDOBA;1;1384;37;1;140;1.a/f RESIDENCIAL
1051;01_EB02;RDLVHG;1;1990-06-30Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1290;163;1;140;1.a/f RESIDENCIAL
1052;01_EB03;RNQOCKQ;1;2015-07-08Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1290;164;1;140;1.a/f RESIDENCIAL
1053;01_EB04;RILIHI;1;1990-06-30Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1217;150;1;140;1.a/f RESIDENCIAL
1054;01_EB05;MYGUWFC;1;2007-07-18Z;SRBUSTO;13_FAVICUR;3097;A;1;CORDOBA;1;1289;188;1;140;1.a/f RESIDENCIAL
1055;01_EB06;IFMXLE;1;1990-06-30Z;SRBUSTO;13_OSDE;3099;A;1;CORDOBA;1;1232;89;1;184;Resid TSP Indig Dto. 43/19
1056;01_EB07;UUNZBV;10;2012-11-14Z;SRBUSTO;13_ELCONDOR;3251;A;1;CORDOBA;1;1290;18;1;190;Residencial
1057;01_EB08;QNIKENC;4;2009-12-01Z;SRBUSTO;13_OSDE;3099;A;1;CORDOBA;1;1216;236;2;240;2 GENERAL Y DE SERVICIOS
1058;01_EB09;RREVNL;1;1990-06-30Z;SRBUSTO;13_OSDE;3099;A;1;CORDOBA;1;1232;85;1;140;1.a/f RESIDENCIAL
1059;01_EB10;FKRMNYO;9;2011-08-17Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1290;144;1;140;1.a/f RESIDENCIAL
1060;01_EC01;MOKSABK;3;2005-10-21Z;SRBUSTO;13_OSDE;3024;A;1;CORDOBA;1;1232;95;1;140;1.a/f RESIDENCIAL
1061;01_EC02;PRCXMRU;3;2019-04-26Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;5;1;140;1.a/f RESIDENCIAL
1062;01_EC03;CZCCGC;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;7;1;140;1.a/f RESIDENCIAL
1063;01_EC04;ALPUTLL;6;2022-11-29Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;10;1;140;1.a/f RESIDENCIAL
1064;01_EC05;UNLEURN;2;2005-05-27Z;SRBUSTO;13_OSDE;2798;A;1;CORDOBA;1;1232;128;1;140;1.a/f RESIDENCIAL
1065;01_EC06;MATHFU;1;1990-06-30Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1290;134;1;140;1.a/f RESIDENCIAL
1066;01_EC07;TNNFYL;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3251;A;1;CORDOBA;1;1232;58;1;140;1.a/f RESIDENCIAL
1067;01_EC08;BOVRXK;1;1990-06-30Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1290;184;1;140;1.a/f RESIDENCIAL
1068;01_EC09;OXDNAM;4;2015-03-03Z;SRBUSTO;13_OSDE;5026;A;1;CORDOBA;1;1216;89;2;240;2 GENERAL Y DE SERVICIOS
1069;01_EC10;JFJRQSV;6;2017-07-11Z;SRBUSTO;13_ELCONDOR;5231;A;1;CORDOBA;1;1303;29;2;240;2 GENERAL Y DE SERVICIOS
1070;01_ED01;PTFHUF;1;2020-11-10Z;SRBUSTO;13_ELCONDOR;5231;A;1;CORDOBA;1;1303;25;2;240;2 GENERAL Y DE SERVICIOS
1071;01_ED02;TIAJKEE;3;2023-08-17Z;CERRO;13_CROLASROSAS;2861;A;1;CORDOBA;1;1249;41;2;240;2 GENERAL Y DE SERVICIOS
1072;01_ED03;JPPVAH;1;1990-06-30Z;SRBUSTO;13_OSDE;3024;A;1;CORDOBA;1;1232;13;1;140;1.a/f RESIDENCIAL
1073;01_ED04;GZXDLQ;5;2018-02-01Z;CERRO;13_PALERMO;5212;A;1;CORDOBA;1;1883;108;1;140;1.a/f RESIDENCIAL
1074;01_ED05;NCRSTMJ;3;2015-01-07Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1290;167;1;140;1.a/f RESIDENCIAL
1075;01_ED06;LQVOPKT;2;2013-08-06Z;SRBUSTO;13_FAVICUR;3031;A;1;CORDOBA;1;1217;201;1;140;1.a/f RESIDENCIAL
1076;01_ED07;DPDRLT;3;2022-10-05Z;SRBUSTO;13_OSDE;5026;A;1;CORDOBA;1;1216;99;1;140;1.a/f RESIDENCIAL
1077;01_ED08;HMLKGFW;2;2016-06-02Z;SRBUSTO;13_OSDE;5026;A;1;CORDOBA;1;1216;100;2;240;2 GENERAL Y DE SERVICIOS
1078;01_ED09;WSNOTWH;2;2005-10-31Z;SRBUSTO;13_ELCONDOR;3251;A;1;CORDOBA;1;1290;171;1;140;1.a/f RESIDENCIAL
1079;01_ED10;UYSTJI;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3251;A;1;CORDOBA;1;1290;177;1;140;1.a/f RESIDENCIAL
1080;01_EE01;YBQLDN;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3249;A;1;CORDOBA;1;1303;152;1;140;1.a/f RESIDENCIAL
1081;01_EE02;JZCSPVH;13;2023-12-21Z;SRBUSTO;13_ELCONDOR;3252;A;1;CORDOBA;1;1303;1;2;240;2 GENERAL Y DE SERVICIOS
1082;01_EE03;UFDRIT;4;2020-09-03Z;SRBUSTO;13_ELCONDOR;3252;A;1;CORDOBA;1;1303;46;1;140;1.a/f RESIDENCIAL
1083;01_EE04;MQCZAO;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3249;A;1;CORDOBA;1;1290;64;1;140;1.a/f RESIDENCIAL
1084;01_EE05;XWVMAKY;5;2022-06-16Z;SRBUSTO;13_OSDE;3099;A;1;CORDOBA;1;1216;167;1;140;1.a/f RESIDENCIAL
1085;01_EE06;RTQVRX;2;1998-10-05Z;SRBUSTO;13_ELCONDOR;3249;A;1;CORDOBA;1;1303;118;1;140;1.a/f RESIDENCIAL
1086;01_EE07;ODSPKVW;6;2019-06-18Z;SRBUSTO;13_ELCONDOR;3797;A;1;CORDOBA;1;1303;108;1;140;1.a/f RESIDENCIAL
1087;01_EE08;WLFUJLB;2;2009-01-28Z;SRBUSTO;13_ELCONDOR;3249;A;1;CORDOBA;1;1303;78;1;140;1.a/f RESIDENCIAL
1088;01_EE09;NCRZTJ;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;189;1;140;1.a/f RESIDENCIAL
1089;01_EE10;UNNDMH;2;1998-03-17Z;SRBUSTO;13_ELCONDOR;3252;A;1;CORDOBA;1;1213;9;1;140;1.a/f RESIDENCIAL
1090;01_EF01;MCULEFV;5;2023-06-29Z;CERRO;13_RNUNIEZ;3164;A;1;CORDOBA;1;1214;283;1;140;1.a/f RESIDENCIAL
1091;01_EF02;RAFUCEC;2;2021-06-01Z;SRBUSTO;13_ELCONDOR;3252;A;1;CORDOBA;1;1213;70;1;140;1.a/f RESIDENCIAL
1092;01_EF03;KTHYXUE;2;2004-12-15Z;SRBUSTO;13_ELCONDOR;3251;A;1;CORDOBA;1;1290;9;1;140;1.a/f RESIDENCIAL
1093;01_EF04;QLZGHJ;2;2000-06-27Z;SRBUSTO;13_ELCONDOR;3797;A;1;CORDOBA;1;1303;182;1;190;Residencial
1094;01_EF05;CGFAMXC;13;2017-05-31Z;SRBUSTO;13_ELCONDOR;3252;A;1;CORDOBA;1;1213;107;1;190;Residencial
